Capitulo,Pregunta,Respuesta
3,Métricas para medir una SRS,"Métrica punto funciónTipo de funciones:Entradas externas  (a la aplicación)Salidas externas (salida del sistema)Archivos lógicos internos (información generada/usada/manipulada)Archivos de interfaz externa (archivos compartidos entre apps)Transacciones externas (inputs/outputs inmediatos/ queries)Cada tipo se puede dividir en Simples, Promedio y Complejas y según el tipo se asigna un “puntaje”, un peso (Wij).Ajustar el UFP de acuerdo a la complejidad del entorno.Se evalúa según las siguientes características:comunicación de datosprocesamiento distribuidoobjetivos de desempeñocarga en la configuración de operacióntasa de transaccióningreso de datos onlineeficiencia del usuario finalactualización onlinecomplejidad del procesamiento lógicoreusabilidadfacilidad para la instalaciónfacilidad para la operaciónmúltiples sitiosintención de facilitar cambiosCada uno de los ítems anteriores debe evaluarse como: (pi)no presente 0influencia insignificante 1influencia moderada 2influencia promedio 3influencia significativa 4influencia fuerte 5Factor de ajuste de complejidad (CAF)Puntos función = CAF * UFP1 punto función =     • 125 LOC en C     • 50 LOC en C++ o JavaMétricas de calidadMétricas de calidad directa: evalúan la calidad del documento estimando el valor de los atributos de calidad de la SRS.Métricas de calidad indirecta: evalúan la efectividad de las métricas del control de calidad usadas en el proceso en la fase de requerimientos."
67,"¿Qué es, para qué sirve y cuál es el objetivo del diseño de software?","El diseño de software es el proceso que comienza una vez que se han definido los requerimientos y se realiza antes de la implementación del código. Sirve como un lenguaje intermedio entre los requerimientos y el código, lo que facilita el desplazamiento desde el dominio del problema al dominio de la solución. A lo largo del diseño, se utilizan representaciones que van desde abstractas hasta concretas, lo que resulta en una base clara para implementar el sistema.El diseño es una actividad creativa que tiene como objetivo crear un plano del sistema que satisfaga los requerimientos. Determina las mayores características de un sistema y tiene un gran impacto en testing y mantenimiento."
67,¿Cuáles son los niveles en el proceso de diseño?,Diseño arquitectónicoDiseño de alto nivelDiseño detallado
67,Nombre los criterios para evaluar el diseño,"Corrección: Que el diseño cumpla con los requerimientos.Eficiencia: Uso adecuado de recursos del sistema.Simplicidad: Facilita el mantenimiento, testing y corrección de errores."
67,Nombre los principios fundamentales del diseño,Partición y jerarquíaAbstracciónModularidad
67,Describa Partición y Jerarquía,Divide el problema en partes manejables con el principio “Divide y vencerás”. Las partes deben mantener la mayor independencia posible pero aún así deben comunicarse/cooperar para solucionar el problema mayor. El particionado del problema determina una jerarquía de componentes en el diseño.
67,Describa Abstracción,"Oculta detalles internos y muestra solo el comportamiento externo. Este enfoque ayuda a controlar la complejidad y a concentrarse en una parte del diseño a la vez.Hay dos mecanismos:Abstracción funcional: especifica el comportamiento funcional de un módulo (lo que éste debe hacer) tratándolo como una función de entrada y salida.Abstracción de datos: se enfoca en los datos y las operaciones que se pueden realizar sobre ellos, sin mostrar cómo se implementan internamente."
67,Describa Modularidad,"Separación en componentes independientes que facilitan la implementación y mantenimiento. Su objetivo principal es asegurar que cualquier cambio en un módulo tenga el menor impacto posible en otros módulos del sistema. Se deben utilizar criterios de descomposición, no vale “recortar” el programa donde nos parezca."
67,Explique Top-down y Bottom-up y sus pros y cons,"En general se utiliza una combinación de ambos.Top-down: Comienza en la componente de más alto nivel, la más abstracta y prosigue construyendo las componentes de niveles más bajos descendiendo en la jerarquía.Bottom-up: Comienza por las componentes de más bajo nivel en la jerarquía, las más simples, luego prosigue hacia los niveles más altos hasta construir la componente más alta.ProsEn cada paso existe una clara imagen del diseño. Enfoque más natural para manipular problemas complejos.La mayoría de las metodologías de diseño se basan en este enfoque.ConsLa factibilidad es desconocida hasta el final.Top-down o bottom up puros no son prácticos."
6,¿Qué es y para qué sirve el Acoplamiento en el diseño orientado a funciones?,"El acoplamiento se refiere al grado de dependencia entre módulos de un sistema. Se busca que los módulos estén débilmente acoplados, ya que esto facilita la modificación y el mantenimiento de ellos, permitiendo que cada uno pueda ser cambiado o probado independientemente. El acoplamiento se ve influenciado por factores como el tipo de conexiones entre módulos, la complejidad de sus interfaces y el tipo de información que intercambia.  [Imagen] Factores más importantes que influyen en el acoplamiento:Tipo de conexiones entre módulos: El acoplamiento aumenta si los módulos se conectan a través de interfaces indirectas u oscuras, o si acceden directamente a elementos internos de otros módulos. Por el contrario, el acoplamiento disminuye si las conexiones se realizan a través de las entradas definidas en cada módulo y la información se pasa exclusivamente mediante parámetros.Complejidad de las interfaces: El acoplamiento se incrementa con la complejidad de las interfaces, es decir, con la cantidad y complejidad de los parámetros que se pasan entre módulos. Interfaces simples y obvias contribuyen a un menor acoplamiento.Tipo de flujo de información entre módulos: El acoplamiento es menor cuando la información que fluye entre módulos es puramente de datos. Si la información incluye también elementos de control, que influyen en las acciones de los módulos, el acoplamiento aumenta, ya que los módulos se vuelven más dependientes entre sí"
6,¿Qué es y para qué sirve la Cohesión del diseño orientado a funciones?,"La cohesión de un módulo representa cuán fuertemente vinculados están los elementos de un módulo. Se busca alta cohesión para que los elementos trabajen juntos de forma coherente, lo que facilita la comprensión, el mantenimiento y la reutilización del módulo. Se utiliza durante la etapa de diseño. Hay baja cohesión cuando los elementos de un módulo no están bien relacionados entre sí o cumplen funciones diferentes, lo que dificulta entender y mantener el módulo.  [Imagen] Casual: la relación entre los módulos no tiene significado.Lógica: existe alguna relación lógica entre los elementos del módulo; los elementos realizan funciones dentro de la misma clase lógica.Temporal: los elementos están relacionados en el tiempo y se ejecutan juntos.Procedural: contiene elementos que pertenecen a una misma unidad procedural.Comunicacional: tiene elementos que están relacionados por una referencia al mismo dato.Secuencial: los elementos están juntos porque la salida de uno corresponde a la entrada del otro.Funcional: todos los elementos del módulo están relacionados para llevar a cabo una sola función."
7,¿Qué es y para qué sirve la Metodología de diseño estructurado? ¿Cuál es su objetivo? Describa los pasos principales,"¿Qué es? ¿para qué sirve?La SDM es un enfoque que provee pautas para el proceso de diseño, ve al software como una función de transformación del sistema. Utiliza DFDs para representar el flujo de datos a través del sistema y se descompone en tres subsistemas principales: entrada, transformación y salida. El proceso de diseño implica la identificación de entradas y salidas abstractas, la factorización de módulos y la mejora de la estructura utilizando heurísticas de diseño.¿Cuál es su objetivo?Su objetivo es especificar módulos de funciones y sus conexiones siguiendo una estructura jerárquica con bajo acoplamiento y alta cohesión.Pasos principales de esta metodologíaReformular el problema como un DFD: Representar visualmente los procesos y flujos de datos del sistema para comprender su funcionamiento.Identificar las entradas y salidas más abstractas (MAI y MAO): Definir los límites del sistema y sus interacciones con el entorno.Realizar el primer nivel de factorización: Descomponer el sistema en módulos principales, estableciendo una estructura jerárquica.Factorizar los módulos: Dividir los módulos principales en submódulos más pequeños y manejables, mejorando la modularidad.Mejorar la estructura: Aplicar técnicas y heurísticas para optimizar el diseño, buscando un equilibrio entre acoplamiento y cohesión."
7,Diferencias de Análisis OO y Diseño OO,"AOO modela el problema y DOO modela la solución.El análisis se centra en comprender el problema y definir los requisitos, mientras que el diseño se centra en transformar esos requisitos en una solución de software."
7,Nombre las formas de evaluar el diseño OO,"Principio abierto-cerrado (Open-Closed Principle): establece que las entidades de software deben estar abiertas a la extensión pero cerradas a la modificación. Esto significa que se debe poder añadir nuevas funcionalidades sin modificar el código existente, lo que promueve la mantenibilidad y la estabilidad del software.Principio de sustitución de Liskov (Huberman) (LSP): Los objetos de una subclase deben poder reemplazar a los objetos de su superclase sin afectar el funcionamiento del programa.Principio de Responsabilidad Única (RSP): Una clase debe tener sólo una razón para cambiar, lo que significa que sólo debe tener un trabajo o responsabilidad.Principio de segregación de interfaces (ISP): Las interfaces deben ser específicas y enfocarse en los requerimientos de los clientes que las utilizan. El principio sugiere la división de interfaces grandes en otras más pequeñas.Principio de inversión de dependencia (DIP): Las clases deben depender de las abstracciones/interfaces y no de implementaciones concretas."
7,Describa los pasos de OMT (Object Modeling Technique),"Producir el diagrama de clases: Es básicamente el diagrama obtenido en el análisis.Producir el modelo dinámico y usarlo para definir operaciones de las clases: Se modela cómo cambia el estado de los objetos al ocurrir eventos.Producir el modelo funcional y usarlo para definir operaciones de las clases: Se describen las operaciones del sistema y cómo se computan las salidas a partir de las entradas, sin considerar el control.Identificar las clases internas y sus operaciones: Se consideran aspectos de implementación y optimización, descartando clases innecesarias y agregando clases auxiliares para soportar las operaciones de las clases principales.Optimizar y empaquetar: Se realizan ajustes finales al diseño, para optimizar el acceso a datos, evitar cálculos repetitivos, mejorar la reutilización y la claridad del diseño. Además, se aplican principios generales como bajo acoplamiento, alta cohesión y el principio abierto-cerrado para mejorar la calidad del diseño."
8,¿Qué hace el Diseño detallado? ¿Por qué se usa?,"Especifica la lógica de los módulos. Una notación textual provee mejor información ya que el lenguaje natural puede llegar a ser impreciso y ambiguo, conduciendo a problemas de comprensión. Por otro lado, los lenguajes formales tienen mucho detalle necesario para implementación, pero esto no es importante para comunicar el diseño. Es por esto que se utiliza el PDL, que es similar al pseudocódigo que estamos acostumbrados a utilizar"
8,Nombre las ventajas y desventajas del PDL,"VentajasSe puede integrar con código fuente, es fácil de entender.Permite la declaración de datos así como del procedimiento.Es barato y efectivo.DesventajasNo es capaz de expresar la funcionalidad de una manera comprensible.Su notación la comprenden personas que manejan PDL."
8,¿Cómo se hace el diseño de la lógica/algoritmo?,"Busca especificar la lógica de los distintos módulos del sistema, se utiliza el refinamiento paso a paso del PDL. Este se realiza gradualmente, descomponiendo sentencias del algoritmo actual en instrucciones más detalladas y se termina cuando todas las instrucciones son lo suficientemente precisas como para llevarlas fácilmente al lenguaje de programación."
1,Describa los desafíos de la Ingeniería del Software,EscalaProductividadCalidadCambio
1,Defina el desafío: Escala,Los métodos de IS deben tener la capacidad de adaptación y respuesta de un sistema con respecto al rendimiento del mismo a medida que aumentan o disminuyen de forma significativa el número de usuarios o requerimientos del mismo.
1,Defina el desafío: Productividad,Está motivada por el costo y el schedule. Tanto una solucón que demora mucho tiempo como una que entrega un software barato y de baja calidad son inaceptables.
1,Defina el desafío: Calidad - Estándar ISO,"Funcionalidad: Capacidad de proveer funciones que cumplen las necesidades establecidas o implicadas.Confiabilidad: Capacidad de realizar las funciones requeridas bajo las condiciones establecidas durante un tiempo específico.Usabilidad: Capacidad de ser comprendido, aprendido y usado.Eficiencia: Capacidad de proveer desempeño apropiado relativo a la cantidad de recursos usados.Mantenibilidad: Capacidad de ser modificado con el propósito de corregir, mejorar, o adaptar.Portabilidad: Capacidad de ser adaptado a distintos entornos sin aplicar otras acciones que las provistas a este propósito en el producto."
1,Defina el desafío: Cambio,"Las prácticas de IS deben preparar al software para que éste sea fácilmente modificable.Los métodos que no permiten cambios, aún si producen alta calidad y productividad, son poco útiles."
1,Defina el desafío: Consistencia,La consistencia permite predecir el resultado del proyecto con certeza razonable. Sin consistencia sería difícil estimar costos.
1,¿Cuál es el Enfoque de la IdS?,"Se busca C&P (calidad y productividad), estas son consecuencia de la gente, los procesos y la tecnología. Un proceso adecuado permitirá obtener gran C&P. [Imagen]"
1,¿Para qué sirve el proceso de desarrollo en fases? Nombre las fases,Sirve para poder verificar la calidad y progreso en momentos definidos del desarrollo. El motivo de separar en fases es la separación de incumbencias: cada fase manipula distintos aspectos del desarrollo de software.Fases:Análisis de requisitos y especificaciónArquitecturaDiseñoCodificaciónTestingEntrega e instalación
1,¿Qué es la Ingeniería del software?,"Es la aplicación de un enfoque sistemático, disciplinado, y cuantificable al desarrollo, operación, y mantenimiento del software."
1,Describa el dominio del problema,"El dominio de la Ingeniería de Software es el software de nivel industrial.El software es caro:El principal costo en la producción de software es la mano de obra. El software es muy caro, por lo que es importante optimizar el proceso de desarrollo con el fin de abaratar el costo de este.Demorado y poco confiable:Las fallas de software son distintas de las fallas mecánicas o eléctricas.En software, en general, las fallas no son consecuencia del uso y el deterioro.Las fallas ocurren como consecuencia de errores (o “bugs”) introducidos durante el desarrollo.La falla que causa el problema existe desde el comienzo, sólo que se manifiesta tarde.Mantenimiento:Realizar mantenimiento al software una vez entregado es necesario para corregir errores residuales (mantenimiento correctivo) y para mejorar funcionalmente el software y adaptarlo a los del entorno (mantenimiento adaptativo)."
1,¿Cuáles son los desafíos de la IdS? Nómbrelos,"La ingeniería de software enfrenta el desafío de crear software de alta calidad de forma consistente y productiva, especialmente para sistemas grandes y cambiantes.El problema de producir software para satisfacer las necesidades del cliente/usuario guía el enfoque usado en IS.Pero hay otros factores que tienen impacto en la elección del enfoque: EscalaCalidadProductividadConsistenciaCambios"
3,¿Dónde se usan los requerimientos del software?,Se utilizan en la primera fase donde las entradas son ideas y la salida es la SRS
3,¿Cuál es la diferencia entre el análisis y la especificación?,"El análisis se centra en la comprensión del sistema deseado y sus requerimientos, la especificación se enfoca en el comportamiento externo del sistema."
3,¿Cuándo se usan y para qué sirven las metodologías de análisis de datos?,"Las metodologías de análisis de datos se utilizan durante la fase de análisis del problema. Su propósito principal es organizar la información recolectada sobre el sistema deseado, ayudando a comprender su estructura, funcionamiento y necesidades."
3,"¿Qué es, para qué sirve la especificación de requerimientos?","La especificación de los requerimientos es el proceso de definir con precisión qué debe hacer un sistema, es necesaria para establecer un acuerdo entre el cliente y el desarrollador, reducir costos de desarrollo y asegurar que el software final cumpla con las necesidades del usuario."
3,"¿Qué es, para qué existe un caso de uso?","Un caso de uso es una colección de muchos escenarios, captura un contrato entre el usuario y el comportamiento del sistema,  sirve para saber cómo se va a usar el sistema. Dentro de la SRS existe para que los programadores entiendan cómo se va a usar el sistema. Se enfoca sólo en la especificación de la funcionalidad. Muy adecuado para sistemas interactivos."
4,¿Cuál es el rol de la arquitectura del software?,"Dividir el sistema en partes lógicas tal que cada una puede ser comprendida independientemente y describe las relaciones entre ellas.Es crucial para el desarrollo de sistemas exitosos, facilitando la comprensión, construcción, evolución y análisis del software.Comprensión y comunicación: La arquitectura ofrece una visión global del sistema, facilitando el entendimiento entre los diferentes involucrados.Rehúso: Al estructurar el sistema en componentes, la arquitectura promueve la reutilización de código, aumentando la productividad y eficiencia.Construcción y evolución: La arquitectura guía el desarrollo y la evolución del sistema, facilitando la incorporación de nuevos cambios y funcionalidades.Análisis: Permite evaluar propiedades importantes del sistema, como rendimiento y confiabilidad, en etapas tempranas del diseño."
4,¿Qué son las vistas de la arquitectura?,"Una vista consiste de elementos y relaciones entre ellos, y describe una estructura. Los elementos de una vista dependen de lo que la vista quiera destacar. Distintos sistemas necesitan distintos tipos de vistas dependiendo de las necesidades.análisis de desempeño => C&Casignación de recursos => asignación de recursosplaneamiento => módulos"
6,¿Qué son las MAI y las MAO?,"MAI (Entradas Más Abstractas): Son los elementos de datos en el Diagrama de Flujo de Datos (DFD) que están más alejados de la entrada física real, pero que aún pueden ser considerados como entradas al sistema. Representan datos que han pasado por procesos de validación, formateo o conversión, y están listos para ser procesados por las transformaciones principales del sistema.MAO (Salidas Más Abstractas): Son los elementos de datos en el DFD que están más alejados de la salida física real, pero que aún pueden ser considerados como salidas del sistema. Son los resultados producidos por las transformaciones principales, antes de ser formateados o convertidos para su presentación final al usuario."
6,¿Qué y cuáles son las heurísticas de diseño usadas en el paso 5 de la SDM?,Son un conjunto de “rules of thumb” que generalmente son útiles.Tamaño del móduloCantidad de flechas de salida y cantidad de flechas de llegadaAlcance del efecto de un móduloAlcance del control de un móduloRule of thumb
6,"¿En qué fase se usan, para qué sirven y cómo se usan las métricas del diseño funcional?","Estas métricas se utilizan principalmente en la fase de verificación del diseño, después de que se ha creado el diseño del software pero antes de la implementación. Su propósito básico es proveer una evaluación cuantitativa del diseño, así el producto final puede mejorarse.Hay varios tipos de métricas:Tamaño: Estima la magnitud del sistema, usualmente en líneas de código o número de módulos. Un tamaño excesivo puede indicar complejidad o falta de modularidad.Complejidad: Mide la dificultad para entender y modificar un módulo o el sistema. Una alta complejidad puede indicar un diseño poco claro o falta de cohesión.De red: Analiza la estructura del sistema, evaluando el acoplamiento entre módulos. Una alta impureza del grafo indica mayor acoplamiento.De estabilidad: Evalúa el impacto de los cambios en el diseño. Un módulo es más estable si menos módulos dependen de él.Flujo de la información: Considera la complejidad interna de un módulo y su interacción con otros. Ayuda a identificar módulos complejos y propensos a errores."
7,Describa el acoplamiento y sus tipos en el diseño OO,"El acoplamiento es un concepto inter-modular, captura la fuerza de interconexión entre módulos. Un bajo acoplamiento significa que los cambios en una clase tienen un impacto mínimo en otras clases. Esto se logra a través de la encapsulación, interfaces bien definidas y el uso de polimorfismo para reducir las dependencias directas entre clases.Tipos de acoplamiento:Acoplamiento por interacción: Un módulo llama directamente a otro.Acoplamiento de componentes: Un módulo accede o modifica la estructura interna de otro.Acoplamiento de herencia: Una clase hereda de otra, adquiriendo sus características."
7,Describa la cohesión y sus tipos en el diseño OO,"La cohesión es un concepto intra-modular; captura cuán relacionado están los elementos de un módulo.. Una clase con alta cohesión representa un concepto único y bien definido, donde todos sus atributos y métodos están relacionados con ese concepto. Esto promueve la encapsulación y facilita el mantenimiento del código.Tipos de cohesiónCohesión de método: Todos los elementos del método contribuyen a una única tarea.Cohesión de clase: Los atributos y métodos de una clase se relacionan con un único concepto.Cohesión de herencia: La jerarquía de clases se basa en una relación clara de generalización-especialización."
4,¿Qué es y para qué sirve la arquitectura del software?,"La arquitectura de SW de un sistema es una estructura que comprende los elementos del SW, las propiedades externamente visibles de tales elementos, y la relación entre ellos. Sólo son de interés las propiedades externas de los elementos para poder especificar las relaciones. No son importantes los detalles de cómo se aseguran dichas propiedades.Es el diseño del sistema al más alto nivel. En este nivel se hacen las elecciones de tecnología, productos a utilizar,servidores, etc."
4,Describa las 3 vistas de la arquitectura del software,"Vista de módulos: Un sistema es una colección de unidades de código, que no representan entidades en ejecución i.e., los elementos son módulos. Ej.: Clases, paquetes, funciones, procedimientos, métodos, etcétera. La relación entre ellos está basada en el código.Vista de componentes y conectores: Los elementos son entidades de ejecución denominados componentes, i.e., una componente es una unidad que tiene identidad dentro del sistema en ejecución. Ej.: objetos, procesos, .exe, .dll, etcétera. Los conectores proveen el medio de interacción entre las componentes. Ej.: pipes, sockets, memoria compartida, protocolos, etcétera.Vista de asignación de recursos:Se enfoca en cómo las unidades de SW se asignan a recursos como hw, sistemas de archivos, gente, etcétera. i.e., especifica la relación entre los elementos del SW y las unidades de ejecución en el entorno.Exponen propiedades estructurales como qué proceso ejecuta en qué procesador, qué archivo reside dónde, etcétera."
4,¿Qué son y para qué sirven los estilos de arquitectura para C&C?,"Los estilos arquitectónicos son patrones generales de organización de componentes y conectores que se adaptan a ciertas clases de problemas.Distintos sistemas tienen estructuras de C&C distintas, algunas estructuras son generales y son útiles para una clase de problemas, estos son los estilos arquitectónicos.Estilos:Pipe & FilterEstilo de datos compartidosEstilo cliente-servidorEstilo publicar-suscribirEstilo peer-to-peerEstilo de procesos que se comunican"
4,Describa el estilo Pipe & Filter,Adecuado para sistemas que realizan transformaciones de datos. Se utiliza una red de transformadores para realizar el resultado deseado.Tiene un sólo tipo de componente: filtro y un sólo tipo de conector: tubo.Un filtro realiza transformaciones y le paso los datos a otro filtro a través de un tubo.Restricciones: Un filtro es una entidad independiente y asíncrona.Un filtro no necesita saber la identidad de los otros filtros.Un tubo es un canal unidireccional que transporta un flujo de datos de un filtro a otro.Un tubo sólo conecta 2 componentes.Los filtros deben hacer “buffering” y sincronización para asegurar el correcto funcionamiento como productor y consumidor.Cada filtro debe trabajar sin conocer la identidad de los filtros productores o consumidores.Un tubo debe conectar un puerto de salida a un puerto de entrada.
4,Describa el estilo de Datos Compartidos,"Hay dos tipos de componentes:Repositorio de datos: provee almacenamiento permanente confiable.Usuarios de datos: acceden a los datos en el repositorio, realizan cálculos y ponen los resultados otra vez en el repositorio.La comunicación entre los usuarios de los datos sólo se hace a través del repositorio. En este estilo sólo hay un tipo de conector: lectura/escritura.Hay dos variantes principales:Estilo pizarra: cuando se agregan/modifican datos en el repositorio, se informa a todos los usuariosEstilo repositorio: el repositorio es pasivo."
4,Describa el estilo Cliente-Servidor,"Hay dos tipos de componentes:Cliente: sólo se comunica con el servidor, pero no con otros clientes.ServidorLa comunicación siempre es iniciada por el cliente quién le envía una solicitud al servidor y espera una respuesta de este. Usualmente es asíncrona. El cliente y el servidor normalmente residen en distintas máquinas.Hay un sólo tipo de conector: solicitud/respuesta, es asimétrico. Este estilo tiene en general la forma de una estructura multi-nivel. El servidor también actúa como cliente.Ej. clásico => 3 niveles:Nivel de cliente: contiene a los clientes.Nivel intermedio: contiene las reglas del servicio.Nivel de base de datos: reside la información."
4,Describa el estilo publicar-suscribir,Dos tipos de componentes: las que publican eventos y las que se suscriben a eventos.Cada vez que se publica un evento se invoca a las componentes suscriptas a dicho evento.
4,Describa el estilo Peer-to-Peer,"Un único tipo de componenteCada componente le puede pedir servicios a otra, es más o menos el modelo de computación OO."
4,Describa el estilo de procesos que se comunican,Procesos que se comunican entre sí a través de pasaje de mensajes.
